priming,cor_type,cor, sub
np,soc_cor,-0.004134556382780087,108
np,loc_cor,-0.025181795114338983,109
np,soc_cor,0.06849524917589392,109
np,loc_cor,0.022328135345513558,110
np,soc_cor,0.0011458621559730978,110
np,loc_cor,0.010003242214724196,111
np,soc_cor,0.01100144485261571,111
np,loc_cor,0.022738089640361652,112
np,soc_cor,0.02784642136188838,112
np,loc_cor,0.013343624959544768,113
np,soc_cor,0.0034249666620893185,113
np,loc_cor,0.026401550998889585,114
np,soc_cor,0.010651233256380127,114
loc,loc_cor,0.00027589429285946346,115
loc,soc_cor,0.0025096624630423143,115
loc,loc_cor,0.010280590836754531,116
loc,soc_cor,0.005346573265223932,116
loc,loc_cor,0.016835937990889494,117
loc,soc_cor,0.009618591047071016,117
loc,loc_cor,0.02376446322861023,118
loc,soc_cor,0.004997613528887599,118
loc,loc_cor,0.012915657898295714,119
loc,soc_cor,0.004105897075588975,119
loc,loc_cor,-0.02258115617282768,120
loc,soc_cor,0.032247452959228415,120
loc,loc_cor,0.014551876989715763,121
loc,soc_cor,0.008094472787438236,121
loc,loc_cor,0.050120294237685895,122
loc,soc_cor,0.005700113109835899,122
loc,loc_cor,0.021262950695566798,123
loc,soc_cor,-0.0019384642094192716,123
soc,loc_cor,0.018695214145962376,124
soc,soc_cor,0.00760321282283096,124
soc,loc_cor,0.00849041888268579,125
soc,soc_cor,0.00798842783106778,125
soc,loc_cor,0.01831175015269898,126
soc,soc_cor,0.01643051302573947,126
soc,loc_cor,0.012767715543360507,127
soc,soc_cor,0.005781283703275105,127
soc,loc_cor,0.01613003422676906,128
soc,soc_cor,0.012592624491770232,128
soc,loc_cor,0.037921454386746066,129
soc,soc_cor,0.003809895136677402,129
np,loc_cor,0.021730464491867114,130
np,soc_cor,0.005594891101771547,130
np,loc_cor,0.04601210797556223,131
np,soc_cor,-0.00030690373443295816,131
np,loc_cor,0.0005127131168597107,132
np,soc_cor,0.004510129075573501,132
np,loc_cor,0.008974828520774848,133
np,soc_cor,0.012597883418281379,133
np,loc_cor,0.006218200999113787,134
np,soc_cor,0.04514673463059498,134
np,loc_cor,0.013522382104203746,135
np,soc_cor,-0.006300220788377849,135
np,loc_cor,0.019526750988596787,136
np,soc_cor,0.003125961296937137,136
np,loc_cor,0.04524757167569722,137
np,soc_cor,0.03990060594350252,137
np,loc_cor,0.010334167106962944,138
